StudentStressSurvey_Id,Textbooks And Course,"Online Resources (eg Educational Websites, Ebooks)",Video lectures or tutorials,Audio recording and wildcard,Library Resources,Hostel Doom Room,School Libarary,Study Hall Common Areas,Cafes,"Outdoor (Parks, Campus Ground)",Desktop,Laptop,Tablets,Smartphone,Traditional Notes,How Often Do You Take Breaks During A Typical Study Session,What Are Your Primary Methods For Retaining Information,How Do You Assess Your Understanding And Retention Of Study Materials,What Challenges Do You Face Most Often When Studying,On Average How Many Hours Do You Spend Studying Each Day,Are You Involved In Any Extracurricular Activities,Which Types Of Extracurricular Activities Are You InvolvedI n,How Would You Rate Your Overall Health Currently,How Would You Rate Your Stress Level During This Academic Term,To What Extent Do You Believe Stress Affects Your Physical Health,Indicate How Much Academic Workload Contribute to stress,How Pressure To Perform Well In Exams Significantly Impacts My Stress Levels,How Time Constraints Significantly Increase My Stress Levels During Examinations,Lack Of SleepIs A Frequent Issue For Me During Exam Periods,My Eating Habits Worsen During Exam Periods,How Frequently Do You Experience Health Issues Such As Headaches Or Other Minor Ailments,When You Experience These Health Issues How Do They Affect Your Ability To Study,What Measures Do You Take To Manage Minor Ailments Like Headaches When Studying,How Would You Describe The Quality Of Your Sleep On Most Nights,On Average How Many Hours Of Sleep Do You Get On A Typical Night During The School Week,Do You Believe That Your Diet Affects Your Academic Performance,How Would You Rate Your Overall Diet In Terms Of Nutritional Balance,If You Were To Use An Examination Routine Manager How Many Courses Would You Want It To Handle Concurrently
300,4,2,3,1,3,3,1,3,2,2,1,3,1,1,0,Every hour,Summarizing topics in my own words,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),Music or Arts,,High,,,,,,,Occasionally,Moderately affects my studying,Take medication,Very good - I sleep soundly and wake up feeling refreshed.,5-7 hours,Significantly - A good diet boosts my academic performance.,Very nutritious - My diet is well balanced and includes a variety of foods.,3-4 courses
299,4,3,2,1,3,1,3,4,3,1,1,4,3,2,1,Every two hours,Summarizing topics in my own words,Discussing topics with peers or instructors,Lack of motivation,Less than 1 hour,Yes (Go to 2.10),Music or Arts,,,,Extremely,,,,,Occasionally,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
298,3,3,3,3,3,3,2,3,3,2,2,2,2,3,2,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Lack of motivation,4-6 hours,No (Go to 3),,Moderate,High,Moderate,Moderately,Moderately,Moderately,Moderately,,Very frequently,Slightly affects my studying,Take a break/rest,"Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Very nutritious - My diet is well balanced and includes a variety of foods.,3-4 courses
297,3,3,1,3,3,1,3,3,1,3,1,3,3,2,0,Every hour,Summarizing topics in my own words,Writing summaries or essays,Lack of motivation,4-6 hours,Yes (Go to 2.10),Volunteer work,,,,,,Quite a bit,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,Not at all - My diet does not affect my academics.,Not nutritious - My diet is poor and not balanced.,5-6 courses
296,3,0,3,3,3,0,3,3,3,0,0,2,0,2,1,Every two hours,Creating and reviewing flashcards,Applying concepts to practical problems or case studies,Lack of motivation,4-6 hours,No (Go to 3),,Moderate,High,Moderate,Moderately,Slightly,Moderately,Moderately,,Rarely,Moderately affects my studying,Take medication,Poor - I frequently have difficulty sleeping and often wake up feeling tired.,3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,1-2 courses
295,2,0,2,1,0,1,0,1,1,0,0,1,3,1,3,Every hour,Summarizing topics in my own words,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,No (Go to 3),,Moderate,High,Moderate,Moderately,Moderately,Moderately,Moderately,Moderately,Occasionally,Moderately affects my studying,Take a break/rest,"Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
294,4,2,1,3,3,1,4,2,3,1,3,2,1,3,4,I rarely take breaks during a study session,Other,Discussing topics with peers or instructors,Time management,More than 6 hours,No (Go to 3),Other (Please specify),,High,,,,,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",,3-5 hours,Significantly - A good diet boosts my academic performance.,Very nutritious - My diet is well balanced and includes a variety of foods.,5-6 courses
293,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Every two hours,Teaching the material to someone else,Applying concepts to practical problems or case studies,Difficulty understanding the material,4-6 hours,No (Go to 3),,Moderate,Moderate,Moderate,Moderately,Slightly,Moderately,Moderately,,Occasionally,Severely affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
292,3,3,2,0,2,3,3,3,2,3,3,3,3,2,3,Every two hours,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)"", Student government",Moderate,Moderate,Moderate,Moderately,Moderately,Moderately,Moderately,Moderately,Occasionally,Severely affects my studying,Seek medical advice,"Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
291,4,3,2,1,3,4,2,2,2,1,1,2,1,2,3,Every two hours,Summarizing topics in my own words,Discussing topics with peers or instructors,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),Sports,,,,Extremely,,,,,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,Not at all - My diet does not affect my academics.,Somewhat nutritious - My diet lacks balance and variety.,
290,2,2,2,0,2,0,2,0,3,2,0,0,2,2,1,Every hour,Teaching the material to someone else,Applying concepts to practical problems or case studies,Time management,4-6 hours,No (Go to 3),,Moderate,Moderate,Moderate,Moderately,Moderately,Moderately,,Moderately,Occasionally,Moderately affects my studying,Take a break/rest,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
289,4,2,2,3,2,1,5,2,4,3,1,4,4,2,4,Every 30 minutes,Creating and reviewing flashcards,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",,,,Quite a bit,,,,,Occasionally,Moderately affects my studying,Take medication,Very good - I sleep soundly and wake up feeling refreshed.,3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
288,3,3,3,3,3,2,3,2,2,0,3,3,0,2,2,Every two hours,Creating and reviewing flashcards,Discussing topics with peers or instructors,Lack of motivation,4-6 hours,No (Go to 3),"Clubs (e.g., debate, science)",Moderate,Moderate,Moderate,Moderately,Moderately,Moderately,Moderately,,Rarely,Slightly affects my studying,Take medication,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
287,3,3,2,3,0,3,2,3,2,3,3,3,3,2,3,I rarely take breaks during a study session,Teaching the material to someone else,Applying concepts to practical problems or case studies,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),Sports,Moderate,High,Moderate,Moderately,Moderately,Quite a bit,Moderately,,Very frequently,Moderately affects my studying,Take medication,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
286,4,2,3,3,3,3,3,3,1,2,0,3,0,2,1,Every two hours,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Lack of motivation,4-6 hours,No (Go to 3),,High,Very High,High,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
285,3,2,3,3,0,3,0,2,2,0,0,3,2,0,3,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Time management,4-6 hours,No (Go to 3),"Clubs (e.g., debate, science)",High,High,Moderate,Moderately,Moderately,Moderately,Moderately,,Rarely,Slightly affects my studying,Seek medical advice,Poor - I frequently have difficulty sleeping and often wake up feeling tired.,Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
284,4,1,3,3,2,3,2,3,3,2,3,2,3,0,1,Every hour,Re-reading notes and textbooks,Applying concepts to practical problems or case studies,Difficulty understanding the material,More than 6 hours,Yes (Go to 2.10),Volunteer work,Moderate,Moderate,,,Moderately,Moderately,Extremely,,Occasionally,Severely affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Poor - I frequently have difficulty sleeping and often wake up feeling tired.,Less than 3 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
283,3,3,2,0,2,3,0,2,0,3,2,0,3,2,0,Every hour,Summarizing topics in my own words,Writing summaries or essays,"Distractions (e.g., social media, noise)",1-3 hours,No (Go to 3),,Moderate,High,,Moderately,Quite a bit,Moderately,Moderately,,Very frequently,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
282,4,2,3,3,3,3,2,3,3,3,3,2,2,3,1,Every hour,Creating and reviewing flashcards,Writing summaries or essays,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),Volunteer work,Moderate,High,High,Moderately,Moderately,Quite a bit,Quite a bit,Quite a bit,Occasionally,Slightly affects my studying,Take medication,"Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,Not at all - My diet does not affect my academics.,Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
281,0,3,3,3,0,0,3,2,2,2,2,1,2,1,3,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)"", Volunteer work",Moderate,High,Moderate,Moderately,Moderately,Moderately,Moderately,Moderately,Occasionally,Severely affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Very nutritious - My diet is well balanced and includes a variety of foods.,5-6 courses
280,3,3,3,3,3,3,3,3,3,3,4,2,3,3,2,Every two hours,Summarizing topics in my own words,Writing summaries or essays,"Distractions (e.g., social media, noise)",4-6 hours,Yes (Go to 2.10),"Music or Arts, ""Clubs (e.g., debate, science)",Moderate,Moderate,Moderate,Moderately,Moderately,Moderately,Moderately,,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Not nutritious - My diet is poor and not balanced.,5-6 courses
279,3,2,2,3,3,3,2,3,3,0,3,0,2,3,4,Every two hours,Creating and reviewing flashcards,Writing summaries or essays,"Distractions (e.g., social media, noise)",1-3 hours,Yes (Go to 2.10),Volunteer work,Moderate,High,Moderate,Moderately,Moderately,Quite a bit,Moderately,,Rarely,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
278,3,2,3,3,3,3,0,3,3,2,3,3,3,2,2,I rarely take breaks during a study session,Teaching the material to someone else,Applying concepts to practical problems or case studies,Lack of motivation,4-6 hours,No (Go to 3),,,,,Quite a bit,,Moderately,Moderately,,Occasionally,Severely affects my studying,Take a break/rest,Very good - I sleep soundly and wake up feeling refreshed.,Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
277,3,2,3,3,3,3,2,2,3,3,3,3,3,3,1,Every two hours,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),Volunteer work,Moderate,Moderate,,Moderately,Moderately,Moderately,Moderately,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
276,0,2,2,2,3,0,2,2,2,2,3,5,1,1,2,Every two hours,Creating and reviewing flashcards,Writing summaries or essays,Procrastination,4-6 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)"", Student government",Moderate,,,Moderately,Quite a bit,Moderately,,,Very frequently,Moderately affects my studying,Take a break/rest,"Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Not nutritious - My diet is poor and not balanced.,3-4 courses
275,2,2,2,3,2,2,2,4,3,0,0,3,3,0,1,Every hour,Summarizing topics in my own words,Discussing topics with peers or instructors,Lack of motivation,4-6 hours,Yes (Go to 2.10),"Sports, Student government",Moderate,High,,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Poor - I frequently have difficulty sleeping and often wake up feeling tired.,3-5 hours,Not at all - My diet does not affect my academics.,Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
274,2,3,3,1,3,3,1,3,3,2,4,2,3,3,1,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Time management,1-3 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",Moderate,High,Moderate,Moderately,Quite a bit,Moderately,Quite a bit,,Rarely,Severely affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
273,3,2,3,0,3,3,3,2,0,3,0,0,3,0,4,Every hour,Summarizing topics in my own words,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,No (Go to 3),,Moderate,,High,,Moderately,Quite a bit,,,Rarely,Does not affect my studying,Take a break/rest,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
272,3,3,2,3,3,3,3,3,1,3,3,3,3,0,3,I rarely take breaks during a study session,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),Volunteer work,Moderate,High,Very High,Moderately,Quite a bit,Moderately,,,Rarely,Does not affect my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Not nutritious - My diet is poor and not balanced.,5-6 courses
271,3,2,3,3,3,3,3,3,3,3,0,3,3,0,3,I rarely take breaks during a study session,Teaching the material to someone else,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,No (Go to 3),,Moderate,High,Moderate,Moderately,Moderately,Moderately,Moderately,,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,Not at all - My diet does not affect my academics.,Not nutritious - My diet is poor and not balanced.,5-6 courses
270,2,3,2,0,2,3,2,2,2,4,0,3,0,2,1,Every hour,Summarizing topics in my own words,Writing summaries or essays,Difficulty understanding the material,More than 6 hours,No (Go to 3),,Moderate,Moderate,Moderate,Moderately,Moderately,Moderately,,,Rarely,Slightly affects my studying,Continue studying without taking any measures,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Not nutritious - My diet is poor and not balanced.,5-6 courses
269,3,2,3,3,3,3,3,1,3,0,3,3,3,0,1,Every two hours,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Lack of motivation,4-6 hours,No (Go to 3),,Moderate,Moderate,High,Moderately,Slightly,Moderately,Moderately,,Occasionally,Slightly affects my studying,Take a break/rest,"Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
268,4,2,3,3,3,3,3,3,2,0,0,3,3,2,1,I rarely take breaks during a study session,Using mnemonic devices,Applying concepts to practical problems or case studies,Lack of motivation,4-6 hours,No (Go to 3),,Moderate,High,,Moderately,Moderately,Moderately,Moderately,,Occasionally,Moderately affects my studying,Seek medical advice,"Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,Not at all - My diet does not affect my academics.,Not nutritious - My diet is poor and not balanced.,5-6 courses
267,3,3,3,3,3,3,3,3,0,3,3,1,3,3,1,I rarely take breaks during a study session,Teaching the material to someone else,Writing summaries or essays,Difficulty understanding the material,4-6 hours,No (Go to 3),,Moderate,High,,Moderately,Moderately,Moderately,Moderately,,Rarely,Severely affects my studying,Take a break/rest,Poor - I frequently have difficulty sleeping and often wake up feeling tired.,5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Not nutritious - My diet is poor and not balanced.,More than 6 courses
266,2,2,3,3,3,2,3,1,3,3,3,0,2,1,4,Every two hours,Teaching the material to someone else,Writing summaries or essays,Lack of motivation,4-6 hours,No (Go to 3),,High,High,Moderate,Moderately,Moderately,Moderately,Moderately,,Occasionally,Severely affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",More than 9 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
265,3,3,3,4,0,4,3,0,1,0,0,1,1,0,0,I rarely take breaks during a study session,Creating and reviewing flashcards,Writing summaries or essays,Difficulty understanding the material,4-6 hours,No (Go to 3),,High,High,High,Quite a bit,Quite a bit,Quite a bit,Moderately,Moderately,Rarely,Moderately affects my studying,Take a break/rest,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
264,3,2,3,3,3,3,0,2,1,0,3,3,2,3,1,Every hour,Summarizing topics in my own words,Writing summaries or essays,Difficulty understanding the material,4-6 hours,No (Go to 3),,Moderate,,High,,Moderately,Moderately,Quite a bit,Slightly,Rarely,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
263,3,3,0,3,3,3,3,3,2,3,3,2,3,3,0,Every hour,Re-reading notes and textbooks,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,No (Go to 3),Volunteer work,Moderate,High,Moderate,Moderately,Quite a bit,Moderately,Moderately,Moderately,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,Not at all - My diet does not affect my academics.,Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
